method_group,metric,wins
?????,Kupiec_passed_alpha_0.2,5
?????,Kupiec_passed_alpha_0.4,3
?????,Kupiec_passed_alpha_0.6,5
?????,Kupiec_passed_alpha_0.8,5
??????(CQ),Kupiec_passed_alpha_0.4,1
??????(CQ),Kupiec_passed_alpha_0.6,1
??????(CQ),Kupiec_passed_alpha_0.8,2
??????(CQ),MAE,1
??????(CQ),Pinball,2
??????(CQ),Winkler_alpha_0.2,1
??????(CQ),Winkler_alpha_0.4,2
??????(CQ),Winkler_alpha_0.6,3
??????(CQ),Winkler_alpha_0.8,4
????????,Winkler_alpha_0.6,1
????????,Winkler_alpha_0.8,1
????????(OCQ),Kupiec_passed_alpha_0.2,2
????????(OCQ),Kupiec_passed_alpha_0.4,3
????????(OCQ),Kupiec_passed_alpha_0.6,1
????????(OCQ),MAE,6
????????(OCQ),Pinball,5
????????(OCQ),Winkler_alpha_0.2,6
????????(OCQ),Winkler_alpha_0.4,5
????????(OCQ),Winkler_alpha_0.6,3
????????(OCQ),Winkler_alpha_0.8,2
