hour,CP,QRA,Norm,Jsu,Stu,QR,CQN,CQJ,CQS,CQR,OCQN,OCQJ,OCQS,OCQR
0,0.5957,0.7473,0.6426,0.5668,0.5686,0.5578,0.6155,0.574,0.5866,0.5794,0.5903,0.5903,0.5975,0.5975
1,0.5975,0.7473,0.6498,0.5704,0.565,0.5722,0.6101,0.5884,0.583,0.574,0.5993,0.5939,0.5975,0.5957
2,0.5957,0.713,0.6679,0.5686,0.5794,0.5776,0.6264,0.5848,0.5939,0.5848,0.6011,0.5939,0.5921,0.5903
3,0.5866,0.7076,0.639,0.5758,0.5686,0.565,0.6209,0.574,0.5794,0.5794,0.5993,0.6011,0.5993,0.5939
4,0.6083,0.7455,0.6516,0.556,0.5614,0.5921,0.6318,0.5957,0.5975,0.6065,0.6245,0.6065,0.6155,0.6029
5,0.6209,0.7238,0.6282,0.5758,0.5794,0.5722,0.6245,0.5866,0.6029,0.5939,0.6137,0.6047,0.6029,0.5975
6,0.5903,0.5866,0.6083,0.5542,0.5505,0.5433,0.6119,0.5596,0.5794,0.565,0.6209,0.6155,0.6209,0.5993
7,0.6029,0.4856,0.5939,0.5542,0.5451,0.5415,0.5939,0.5758,0.5722,0.5812,0.6227,0.6119,0.6065,0.6047
8,0.5921,0.4422,0.556,0.5018,0.5162,0.4874,0.5578,0.5487,0.556,0.5433,0.6011,0.5921,0.6065,0.5993
9,0.5921,0.4892,0.5469,0.5108,0.5199,0.5235,0.5704,0.5578,0.5596,0.5632,0.6119,0.6083,0.6101,0.6065
10,0.5957,0.5217,0.5758,0.5415,0.5487,0.5542,0.5975,0.5776,0.574,0.5776,0.6065,0.6011,0.6119,0.5866
11,0.5866,0.5487,0.565,0.5181,0.5451,0.5415,0.583,0.5614,0.574,0.5542,0.5848,0.583,0.6029,0.5866
12,0.583,0.5722,0.5722,0.5325,0.5217,0.5325,0.5794,0.5686,0.5542,0.5704,0.6011,0.6119,0.6083,0.6065
13,0.5975,0.5632,0.5957,0.5217,0.5253,0.5325,0.5939,0.5596,0.5523,0.5686,0.6083,0.6209,0.6209,0.6065
14,0.5903,0.5451,0.5686,0.5271,0.5469,0.5126,0.583,0.5686,0.565,0.5542,0.6155,0.6173,0.6191,0.6137
15,0.5812,0.5397,0.5614,0.5054,0.5036,0.5018,0.5776,0.5469,0.5542,0.5451,0.6029,0.6173,0.6047,0.6065
16,0.5812,0.556,0.5343,0.5126,0.5253,0.5289,0.5632,0.5487,0.5722,0.5686,0.5866,0.5957,0.5794,0.5794
17,0.5812,0.5271,0.5939,0.5181,0.5018,0.5361,0.5975,0.5614,0.5542,0.5776,0.5957,0.5957,0.5993,0.6047
18,0.5848,0.5054,0.5866,0.5433,0.5415,0.5379,0.6011,0.5722,0.5776,0.5921,0.6137,0.6011,0.6137,0.6137
19,0.5794,0.4314,0.5379,0.5054,0.4946,0.5181,0.583,0.5614,0.556,0.5722,0.6209,0.6047,0.6011,0.6065
20,0.5975,0.4946,0.556,0.5415,0.5361,0.5505,0.5704,0.5722,0.5686,0.5866,0.6209,0.6155,0.6083,0.6209
21,0.5993,0.5668,0.6029,0.5451,0.5487,0.5542,0.6227,0.5794,0.5722,0.5866,0.6137,0.6011,0.6101,0.6137
22,0.6011,0.6372,0.6191,0.5379,0.5451,0.5542,0.6065,0.5722,0.5596,0.5704,0.5993,0.6029,0.6065,0.6047
23,0.5776,0.6534,0.639,0.5199,0.5271,0.5379,0.6137,0.5505,0.5451,0.5578,0.6083,0.5975,0.5957,0.5993
