hour,CP,QRA,Norm,Jsu,Stu,QR,CQN,CQJ,CQS,CQR,OCQN,OCQJ,OCQS,OCQR
0,0.5695,0.6213,0.654,0.5204,0.5395,0.5068,0.6076,0.5341,0.5341,0.5368,0.5722,0.5477,0.5586,0.5504
1,0.5858,0.5831,0.6294,0.5204,0.5395,0.4986,0.5886,0.5422,0.5559,0.5259,0.5913,0.5722,0.5749,0.5613
2,0.6158,0.5722,0.6158,0.5368,0.564,0.515,0.5913,0.5804,0.5722,0.5668,0.5967,0.5777,0.5995,0.5913
3,0.6267,0.594,0.6185,0.5259,0.5422,0.5341,0.6131,0.5858,0.5722,0.5804,0.6158,0.5967,0.6049,0.594
4,0.6376,0.5831,0.6294,0.5313,0.5531,0.5204,0.624,0.5804,0.594,0.5831,0.6158,0.5886,0.6104,0.5995
5,0.6349,0.6158,0.6676,0.5804,0.5886,0.5422,0.6349,0.5886,0.6022,0.5804,0.624,0.6104,0.6076,0.6022
6,0.6049,0.5858,0.6131,0.5068,0.5477,0.4877,0.5913,0.5586,0.5831,0.564,0.5913,0.5858,0.6049,0.5967
7,0.5995,0.564,0.6294,0.5422,0.5422,0.5232,0.594,0.5668,0.564,0.5559,0.5722,0.5749,0.5886,0.5886
8,0.6104,0.4768,0.6676,0.5858,0.5668,0.5422,0.6376,0.5858,0.5695,0.5668,0.594,0.5913,0.5777,0.5804
9,0.624,0.4986,0.673,0.6158,0.6022,0.5477,0.6267,0.594,0.6104,0.5668,0.594,0.5886,0.5913,0.5913
10,0.5831,0.5177,0.6921,0.6403,0.5804,0.5722,0.6403,0.6158,0.594,0.5777,0.5967,0.5967,0.594,0.594
11,0.594,0.4905,0.6485,0.5695,0.5831,0.5123,0.6158,0.5804,0.594,0.5395,0.6049,0.5886,0.5858,0.5913
12,0.6076,0.5286,0.6812,0.5858,0.6022,0.5613,0.6322,0.5967,0.6022,0.5831,0.624,0.6104,0.6185,0.6076
13,0.6158,0.5177,0.6703,0.5777,0.5913,0.5559,0.6267,0.5913,0.5967,0.5886,0.6294,0.6049,0.6213,0.6185
14,0.5995,0.4741,0.6757,0.5858,0.5722,0.515,0.6267,0.5668,0.5831,0.545,0.6185,0.6049,0.6158,0.6049
15,0.6104,0.4905,0.6866,0.594,0.5831,0.5586,0.6376,0.5695,0.5722,0.5613,0.6158,0.5858,0.594,0.5804
16,0.5995,0.515,0.6894,0.6158,0.6185,0.5559,0.6376,0.6076,0.5858,0.5722,0.6267,0.6049,0.6049,0.594
17,0.5913,0.5259,0.703,0.6131,0.6349,0.5804,0.6485,0.594,0.6131,0.594,0.6104,0.594,0.5886,0.6022
18,0.5777,0.5286,0.7493,0.6158,0.6267,0.5831,0.6594,0.5831,0.5967,0.5831,0.594,0.5695,0.5695,0.5886
19,0.5831,0.5095,0.733,0.6485,0.6213,0.624,0.6376,0.6213,0.6131,0.6022,0.6049,0.6049,0.5967,0.6158
20,0.5777,0.4959,0.7439,0.6267,0.5586,0.5777,0.6649,0.5831,0.5804,0.5886,0.6185,0.5858,0.5886,0.6022
21,0.5913,0.5995,0.7357,0.6376,0.5913,0.6049,0.6458,0.594,0.5858,0.5804,0.594,0.5586,0.5695,0.5777
22,0.5504,0.6594,0.7221,0.6022,0.6349,0.564,0.6267,0.5695,0.5995,0.5668,0.5749,0.564,0.5668,0.5668
23,0.564,0.6621,0.6703,0.5804,0.6049,0.5749,0.5967,0.5586,0.5722,0.5613,0.5722,0.5504,0.5586,0.5559
