hour,CP,QRA,Norm,Jsu,Stu,QR,CQN,CQJ,CQS,CQR,OCQN,OCQJ,OCQS,OCQR
0,0.5967,0.6294,0.6621,0.564,0.5504,0.5313,0.6294,0.5613,0.5722,0.5313,0.6104,0.5886,0.5886,0.5695
1,0.564,0.5886,0.5831,0.5204,0.4932,0.4441,0.5831,0.5477,0.5531,0.5068,0.5749,0.5858,0.5695,0.5613
2,0.5613,0.5531,0.5695,0.5368,0.5232,0.4441,0.5422,0.5504,0.5341,0.4959,0.5858,0.5804,0.5722,0.5695
3,0.5586,0.5368,0.5831,0.5422,0.4986,0.4496,0.5668,0.5668,0.5177,0.5123,0.5886,0.5858,0.5695,0.5749
4,0.5695,0.5477,0.5613,0.5232,0.5068,0.4687,0.5749,0.5504,0.5586,0.5259,0.5967,0.5886,0.5886,0.5777
5,0.5858,0.5886,0.5668,0.5368,0.5286,0.4659,0.5749,0.5695,0.5395,0.5204,0.5831,0.6076,0.5804,0.5777
6,0.5749,0.6022,0.6294,0.5341,0.5286,0.4796,0.6076,0.5668,0.5722,0.5477,0.5967,0.5858,0.5858,0.5749
7,0.5995,0.5613,0.6322,0.564,0.5804,0.5313,0.5995,0.5749,0.5831,0.5695,0.5749,0.5722,0.5586,0.5722
8,0.5858,0.4796,0.6485,0.5668,0.5531,0.5068,0.6104,0.5559,0.5613,0.5232,0.5995,0.5531,0.5722,0.5668
9,0.5804,0.5586,0.673,0.5777,0.5695,0.5559,0.6104,0.545,0.5777,0.5559,0.5831,0.5777,0.5722,0.5749
10,0.5967,0.5886,0.6757,0.5967,0.5804,0.5341,0.6185,0.5749,0.5559,0.5504,0.5831,0.5749,0.5777,0.564
11,0.594,0.5259,0.6512,0.5504,0.5504,0.5123,0.6022,0.5613,0.5586,0.5477,0.5831,0.5695,0.5804,0.564
12,0.5804,0.515,0.6403,0.5749,0.5313,0.515,0.6049,0.5722,0.5559,0.5504,0.5858,0.5804,0.5858,0.5695
13,0.6049,0.5177,0.6022,0.5777,0.5804,0.4932,0.5967,0.5722,0.5722,0.5477,0.6158,0.5913,0.5913,0.5804
14,0.6022,0.4796,0.6458,0.5504,0.5504,0.4959,0.6185,0.5668,0.5695,0.5422,0.624,0.5831,0.594,0.5804
15,0.5913,0.4632,0.6294,0.515,0.5095,0.4687,0.6022,0.5395,0.5368,0.5286,0.6213,0.5831,0.5995,0.5749
16,0.5695,0.4959,0.6158,0.5232,0.564,0.4905,0.5858,0.5313,0.5777,0.5422,0.5995,0.5804,0.594,0.5886
17,0.5586,0.5204,0.6703,0.5722,0.5804,0.5232,0.6049,0.5504,0.5722,0.545,0.6049,0.5804,0.594,0.5722
18,0.5559,0.5286,0.6839,0.5858,0.6076,0.5749,0.6185,0.5695,0.5831,0.5668,0.594,0.5668,0.5749,0.5668
19,0.5777,0.5204,0.7221,0.6213,0.6294,0.5831,0.6376,0.6022,0.6022,0.594,0.594,0.5913,0.6022,0.6104
20,0.5858,0.5068,0.7439,0.6049,0.5913,0.5722,0.6812,0.6049,0.5858,0.5995,0.6185,0.6185,0.5995,0.6213
21,0.5886,0.6322,0.733,0.624,0.594,0.6022,0.6975,0.6076,0.5995,0.624,0.6104,0.6022,0.594,0.624
22,0.5804,0.6975,0.6649,0.5804,0.5804,0.5504,0.6213,0.5695,0.5586,0.5831,0.5749,0.5831,0.5831,0.5831
23,0.545,0.6403,0.6512,0.5559,0.5531,0.5177,0.6104,0.5477,0.5504,0.5259,0.5831,0.564,0.5749,0.5668
