hour,CP,QRA,Norm,Jsu,Stu,QR,CQN,CQJ,CQS,CQR,OCQN,OCQJ,OCQS,OCQR
0,0.5804,0.673,0.6703,0.5559,0.5177,0.564,0.6267,0.5559,0.545,0.5504,0.594,0.5668,0.5668,0.5613
1,0.564,0.6403,0.6322,0.4959,0.455,0.5341,0.5749,0.5531,0.5613,0.5804,0.5777,0.5722,0.5722,0.5613
2,0.5395,0.6458,0.6076,0.5313,0.5232,0.5395,0.5967,0.5341,0.5395,0.545,0.5804,0.564,0.564,0.5504
3,0.5695,0.6349,0.5967,0.5232,0.5232,0.5177,0.5695,0.5422,0.545,0.5395,0.5695,0.5504,0.5613,0.5531
4,0.5504,0.6294,0.594,0.5232,0.4796,0.4632,0.5831,0.5177,0.5123,0.5259,0.5777,0.5531,0.5531,0.564
5,0.5695,0.6403,0.6049,0.5313,0.515,0.5095,0.5749,0.5204,0.5395,0.5531,0.5722,0.564,0.564,0.5504
6,0.5668,0.6131,0.5913,0.5395,0.5368,0.4986,0.564,0.5531,0.5559,0.5395,0.5749,0.5804,0.5722,0.5858
7,0.5804,0.5477,0.6213,0.5613,0.5531,0.5477,0.5913,0.5531,0.5586,0.5749,0.5749,0.5613,0.5559,0.5668
8,0.5858,0.4632,0.6485,0.5477,0.5341,0.5477,0.5886,0.5477,0.5422,0.5504,0.5858,0.5531,0.5722,0.5722
9,0.5967,0.5341,0.6403,0.5395,0.5368,0.5422,0.5804,0.5504,0.5586,0.5668,0.5722,0.5749,0.564,0.5695
10,0.5831,0.5531,0.6076,0.5341,0.5177,0.5286,0.5804,0.5531,0.545,0.5504,0.5858,0.5804,0.5722,0.5668
11,0.5559,0.4823,0.545,0.4877,0.4796,0.485,0.5477,0.5368,0.5204,0.5259,0.5858,0.5831,0.5831,0.5777
12,0.5967,0.5123,0.5422,0.5041,0.5095,0.5286,0.545,0.5559,0.5586,0.5586,0.6049,0.5995,0.6049,0.6076
13,0.5886,0.515,0.5368,0.5232,0.515,0.5095,0.5777,0.5749,0.5668,0.5722,0.6076,0.6076,0.6185,0.6049
14,0.5804,0.4932,0.5613,0.5068,0.515,0.5068,0.5804,0.5531,0.5613,0.5559,0.6104,0.5913,0.5913,0.5886
15,0.5722,0.515,0.5995,0.5395,0.5204,0.5341,0.5613,0.5341,0.545,0.5477,0.5967,0.5777,0.5913,0.5777
16,0.5531,0.5422,0.624,0.5504,0.5586,0.5477,0.5804,0.5586,0.545,0.5504,0.5858,0.5749,0.5722,0.5668
17,0.5668,0.5531,0.7193,0.5668,0.545,0.5858,0.6158,0.5422,0.5695,0.5722,0.5831,0.5749,0.5695,0.564
18,0.5477,0.5232,0.7629,0.6104,0.5831,0.6213,0.6485,0.5586,0.5586,0.5995,0.5831,0.5504,0.5722,0.5749
19,0.5777,0.5123,0.7711,0.6757,0.6431,0.6185,0.6812,0.6322,0.6185,0.6022,0.6022,0.6076,0.6049,0.6131
20,0.5777,0.5477,0.7902,0.6812,0.6022,0.6294,0.673,0.6431,0.6076,0.6294,0.6185,0.6267,0.594,0.6131
21,0.5913,0.6213,0.7602,0.6403,0.5913,0.6485,0.6839,0.6131,0.5777,0.6131,0.6104,0.5695,0.5722,0.594
22,0.594,0.7139,0.7193,0.6131,0.5477,0.6185,0.6294,0.5913,0.564,0.5995,0.5831,0.5695,0.5722,0.5695
23,0.5422,0.7439,0.6703,0.5559,0.5504,0.5804,0.6213,0.5559,0.5559,0.5777,0.5695,0.5422,0.545,0.5668
