metric,direction,base_mean,cq_mean,ocq_mean,ocq_vs_base_pct,ocq_vs_cq_pct
Pinball,越小越好,2.305,2.286,2.284,0.9,0.09
MAE,越小越好,5.773,5.766,5.749,0.42,0.3
Winkler_alpha_0.2,越小越好,28.597,28.115,28.025,2.0,0.32
Winkler_alpha_0.4,越小越好,21.28,21.074,21.063,1.02,0.05
Winkler_alpha_0.6,越小越好,17.093,16.968,16.973,0.7,-0.03
Winkler_alpha_0.8,越小越好,14.038,13.944,13.945,0.66,-0.01
Kupiec_passed_alpha_0.2,越大越好,9.643,17.25,22.286,131.11,29.19
Kupiec_passed_alpha_0.4,越大越好,11.214,19.071,23.679,111.15,24.16
Kupiec_passed_alpha_0.6,越大越好,13.857,20.571,23.929,72.68,16.32
Kupiec_passed_alpha_0.8,越大越好,18.571,23.321,23.25,25.19,-0.31
