market,model,Pinball,PICP_alpha_0.2,Kupiec_passed_alpha_0.2,Winkler_alpha_0.2,PICP_alpha_0.4,Kupiec_passed_alpha_0.4,Winkler_alpha_0.4
DE_price,CP,1.549,79.0,24,20.27,59.0,24,14.43
DE_price,QRA,1.557,78.0,6,20.62,59.0,5,14.57
DE_price,Stu,1.473,75.0,6,17.77,54.0,6,13.51
DE_price,QR,1.474,75.0,9,17.71,54.0,5,13.52
DE_price,CQS,1.463,78.0,18,17.53,57.0,17,13.4
DE_price,CQR,1.462,78.0,19,17.5,57.0,19,13.41
DE_price,OCQS,1.456,80.0,24,17.42,61.0,24,13.34
DE_price,OCQR,1.459,80.0,24,17.45,60.0,24,13.4
MGP_CNOR,CP,1.963,79.0,24,24.3,60.0,24,18.13
MGP_CNOR,QRA,1.979,76.0,10,24.64,55.0,9,18.32
MGP_CNOR,Stu,1.952,79.0,18,24.18,58.0,19,17.97
MGP_CNOR,QR,1.927,75.0,9,23.87,55.0,12,17.79
MGP_CNOR,CQS,1.943,79.0,22,23.94,59.0,23,17.88
MGP_CNOR,CQR,1.922,77.0,17,23.7,57.0,20,17.74
MGP_CNOR,OCQS,1.935,79.0,22,23.82,59.0,24,17.82
MGP_CNOR,OCQR,1.918,78.0,22,23.57,59.0,24,17.69
MGP_CSUD,CP,1.994,79.0,23,24.88,58.0,23,18.38
MGP_CSUD,QRA,1.996,77.0,10,25.07,55.0,7,18.45
MGP_CSUD,Stu,1.99,78.0,16,25.04,57.0,17,18.4
MGP_CSUD,QR,1.976,75.0,6,24.66,55.0,13,18.29
MGP_CSUD,CQS,1.968,78.0,20,24.37,57.0,17,18.13
MGP_CSUD,CQR,1.963,77.0,17,24.14,56.0,18,18.15
MGP_CSUD,OCQS,1.97,79.0,22,24.36,58.0,23,18.14
MGP_CSUD,OCQR,1.964,78.0,23,24.09,58.0,24,18.14
MGP_NORD,CP,1.847,81.0,24,22.64,62.0,22,16.95
MGP_NORD,QRA,1.861,78.0,12,23.07,57.0,12,17.19
MGP_NORD,Stu,1.809,79.0,19,21.94,57.0,19,16.56
MGP_NORD,QR,1.806,73.0,6,22.07,53.0,6,16.58
MGP_NORD,CQS,1.81,79.0,24,21.84,59.0,24,16.6
MGP_NORD,CQR,1.804,77.0,19,21.89,57.0,21,16.54
MGP_NORD,OCQS,1.804,80.0,24,21.8,60.0,24,16.52
MGP_NORD,OCQR,1.803,80.0,24,21.79,60.0,24,16.53
MGP_SARD,CP,2.258,78.0,23,28.14,58.0,23,20.84
MGP_SARD,QRA,2.261,76.0,9,28.53,55.0,10,20.93
MGP_SARD,Stu,2.234,77.0,15,28.09,56.0,16,20.59
MGP_SARD,QR,2.275,71.0,3,28.58,51.0,6,21.0
MGP_SARD,CQS,2.218,78.0,20,27.61,56.0,20,20.42
MGP_SARD,CQR,2.255,75.0,5,27.89,55.0,9,20.79
MGP_SARD,OCQS,2.221,78.0,23,27.54,58.0,24,20.45
MGP_SARD,OCQR,2.251,78.0,21,27.66,58.0,24,20.71
MGP_SICI,CP,4.433,79.0,24,56.78,59.0,24,41.45
MGP_SICI,QRA,4.44,79.0,5,57.86,58.0,6,41.58
MGP_SICI,Stu,4.428,71.0,3,56.1,52.0,4,41.13
MGP_SICI,QR,4.341,75.0,10,53.78,56.0,15,40.09
MGP_SICI,CQS,4.362,76.0,13,54.33,56.0,15,40.39
MGP_SICI,CQR,4.295,77.0,17,52.71,57.0,21,39.55
MGP_SICI,OCQS,4.36,77.0,21,54.23,59.0,24,40.39
MGP_SICI,OCQR,4.302,78.0,21,52.74,60.0,24,39.66
MGP_SUD,CP,2.176,78.0,22,27.48,57.0,21,20.18
MGP_SUD,QRA,2.17,79.0,10,27.21,58.0,9,20.12
MGP_SUD,Stu,2.178,74.0,6,27.18,54.0,7,20.12
MGP_SUD,QR,2.13,74.0,5,26.0,55.0,8,19.6
MGP_SUD,CQS,2.152,76.0,12,26.6,56.0,14,19.79
MGP_SUD,CQR,2.11,76.0,12,25.45,57.0,18,19.35
MGP_SUD,OCQS,2.15,77.0,15,26.45,58.0,23,19.76
MGP_SUD,OCQR,2.109,78.0,19,25.26,58.0,24,19.32
