,CP,QRA,Norm,Jsu,Stu,QR,CQN,CQJ,CQS,CQR,OCQN,OCQJ,OCQS,OCQR
Pinball,1.549,1.557,1.489,1.467,1.473,1.474,1.483,1.457,1.463,1.462,1.480,1.450,1.456,1.459
MAE,3.799,3.794,3.758,3.724,3.725,3.726,3.755,3.720,3.718,3.717,3.745,3.700,3.704,3.704
PICP$_{0.2}$,79.00,78.00,78.00,74.00,75.00,75.00,79.00,77.00,78.00,78.00,81.00,80.00,80.00,80.00
Kupiec passed$_{0.2}$,24,6,10,5,6,9,22,13,18,19,24,24,24,24
Winkler$_{0.2}$,20.27,20.62,18.07,17.52,17.77,17.71,17.99,17.30,17.53,17.50,17.98,17.18,17.42,17.45
PICP$_{0.4}$,59.00,59.00,60.00,54.00,54.00,54.00,60.00,57.00,57.00,57.00,61.00,60.00,61.00,60.00
Kupiec passed$_{0.4}$,24,5,15,5,6,5,23,19,17,19,24,24,24,24
Winkler$_{0.4}$,14.43,14.57,13.68,13.45,13.51,13.52,13.62,13.36,13.40,13.41,13.58,13.30,13.34,13.40
PICP$_{0.6}$,40.00,39.00,40.00,35.00,35.00,35.00,40.00,38.00,38.00,38.00,41.00,40.00,40.00,40.00
Kupiec passed$_{0.6}$,24,9,18,8,10,8,22,19,20,22,24,24,24,24
Winkler$_{0.6}$,11.39,11.45,11.08,10.94,10.97,11.00,11.03,10.88,10.91,10.91,11.02,10.83,10.86,10.89
PICP$_{0.8}$,20.00,20.00,20.00,17.00,18.00,18.00,20.00,19.00,19.00,19.00,22.00,21.00,21.00,21.00
Kupiec passed$_{0.8}$,24,10,22,14,15,18,22,24,23,24,23,23,20,23
Winkler$_{0.8}$,9.27,9.28,9.13,9.04,9.05,9.06,9.09,8.97,9.00,9.00,9.06,8.92,8.96,8.97
