,CP,QRA,Norm,Jsu,Stu,QR,CQN,CQJ,CQS,CQR,OCQN,OCQJ,OCQS,OCQR
Pinball,1.963,1.979,2.007,1.925,1.952,1.927,1.989,1.920,1.943,1.922,1.981,1.913,1.935,1.918
MAE,4.918,4.952,5.047,4.851,4.908,4.830,5.046,4.848,4.906,4.828,5.025,4.825,4.886,4.815
PICP$_{0.2}$,79.00,76.00,85.00,78.00,79.00,75.00,82.00,78.00,79.00,77.00,81.00,79.00,79.00,78.00
Kupiec passed$_{0.2}$,24,10,9,17,18,9,23,19,22,17,24,22,22,22
Winkler$_{0.2}$,24.30,24.64,24.65,23.60,24.18,23.87,24.30,23.59,23.94,23.70,24.20,23.48,23.82,23.57
PICP$_{0.4}$,60.00,55.00,67.00,58.00,58.00,55.00,63.00,58.00,59.00,57.00,60.00,59.00,59.00,59.00
Kupiec passed$_{0.4}$,24,9,7,17,19,12,22,22,23,20,24,23,24,24
Winkler$_{0.4}$,18.13,18.32,18.50,17.71,17.97,17.79,18.25,17.68,17.88,17.74,18.22,17.62,17.82,17.69
PICP$_{0.6}$,41.00,35.00,47.00,38.00,38.00,36.00,42.00,38.00,39.00,38.00,40.00,39.00,39.00,39.00
Kupiec passed$_{0.6}$,24,10,9,23,21,19,21,23,24,23,24,24,24,24
Winkler$_{0.6}$,14.56,14.66,14.90,14.29,14.46,14.29,14.75,14.23,14.39,14.26,14.71,14.20,14.34,14.25
PICP$_{0.8}$,20.00,18.00,23.00,19.00,19.00,18.00,21.00,19.00,19.00,19.00,21.00,20.00,20.00,20.00
Kupiec passed$_{0.8}$,24,17,16,18,21,20,22,24,23,23,23,24,24,24
Winkler$_{0.8}$,11.96,12.03,12.27,11.78,11.91,11.75,12.18,11.72,11.87,11.72,12.11,11.69,11.82,11.70
