,CP,QRA,Norm,Jsu,Stu,QR,CQN,CQJ,CQS,CQR,OCQN,OCQJ,OCQS,OCQR
Pinball,1.994,1.996,2.050,1.977,1.990,1.976,2.033,1.964,1.968,1.963,2.028,1.962,1.970,1.964
MAE,4.992,4.982,5.127,4.949,4.966,4.934,5.124,4.942,4.958,4.927,5.111,4.933,4.949,4.927
PICP$_{0.2}$,79.00,77.00,83.00,77.00,78.00,75.00,81.00,76.00,78.00,77.00,81.00,78.00,79.00,78.00
Kupiec passed$_{0.2}$,23,10,12,11,16,6,18,16,20,17,23,20,22,23
Winkler$_{0.2}$,24.88,25.07,25.42,24.60,25.04,24.66,24.92,24.36,24.37,24.14,24.88,24.24,24.36,24.09
PICP$_{0.4}$,58.00,55.00,67.00,58.00,57.00,55.00,61.00,57.00,57.00,56.00,60.00,58.00,58.00,58.00
Kupiec passed$_{0.4}$,23,7,10,14,17,13,20,16,17,18,24,21,23,24
Winkler$_{0.4}$,18.38,18.45,18.96,18.27,18.40,18.29,18.73,18.17,18.13,18.15,18.71,18.12,18.14,18.14
PICP$_{0.6}$,39.00,36.00,46.00,38.00,38.00,37.00,42.00,37.00,37.00,37.00,40.00,38.00,39.00,39.00
Kupiec passed$_{0.6}$,24,9,11,15,19,13,21,16,20,21,24,24,24,24
Winkler$_{0.6}$,14.78,14.77,15.21,14.64,14.73,14.62,15.10,14.55,14.59,14.57,15.04,14.54,14.61,14.59
PICP$_{0.8}$,20.00,18.00,24.00,19.00,19.00,18.00,21.00,19.00,19.00,19.00,21.00,20.00,20.00,20.00
Kupiec passed$_{0.8}$,24,14,16,20,20,20,23,24,24,24,24,24,24,24
Winkler$_{0.8}$,12.14,12.12,12.47,12.03,12.07,12.00,12.42,11.93,11.99,11.97,12.38,11.96,12.03,11.99
