,CP,QRA,Norm,Jsu,Stu,QR,CQN,CQJ,CQS,CQR,OCQN,OCQJ,OCQS,OCQR
Pinball,1.847,1.861,1.855,1.823,1.809,1.806,1.852,1.827,1.810,1.804,1.850,1.822,1.804,1.803
MAE,4.655,4.659,4.705,4.609,4.581,4.547,4.705,4.608,4.580,4.547,4.700,4.601,4.565,4.543
PICP$_{0.2}$,81.00,78.00,84.00,77.00,79.00,73.00,82.00,79.00,79.00,77.00,81.00,80.00,80.00,80.00
Kupiec passed$_{0.2}$,24,12,10,15,19,6,23,23,24,19,23,24,24,24
Winkler$_{0.2}$,22.64,23.07,22.36,22.08,21.94,22.07,22.25,22.16,21.84,21.89,22.21,22.07,21.80,21.79
PICP$_{0.4}$,62.00,57.00,66.00,57.00,57.00,53.00,63.00,59.00,59.00,57.00,61.00,60.00,60.00,60.00
Kupiec passed$_{0.4}$,22,12,9,19,19,6,22,24,24,21,24,24,24,24
Winkler$_{0.4}$,16.95,17.19,17.02,16.73,16.56,16.58,16.96,16.78,16.60,16.54,16.94,16.73,16.52,16.53
PICP$_{0.6}$,43.00,38.00,45.00,38.00,37.00,34.00,42.00,39.00,39.00,38.00,41.00,40.00,40.00,40.00
Kupiec passed$_{0.6}$,23,13,11,20,18,9,22,24,24,22,24,24,24,24
Winkler$_{0.6}$,13.71,13.79,13.80,13.56,13.45,13.43,13.78,13.60,13.48,13.45,13.78,13.57,13.44,13.46
PICP$_{0.8}$,22.00,18.00,22.00,19.00,18.00,17.00,21.00,20.00,19.00,19.00,21.00,21.00,21.00,21.00
Kupiec passed$_{0.8}$,24,16,18,22,22,17,23,24,24,24,22,24,24,24
Winkler$_{0.8}$,11.31,11.34,11.41,11.19,11.11,11.06,11.41,11.22,11.13,11.08,11.39,11.19,11.10,11.08
