,CP,QRA,Norm,Jsu,Stu,QR,CQN,CQJ,CQS,CQR,OCQN,OCQJ,OCQS,OCQR
Pinball,2.258,2.261,2.282,2.262,2.234,2.275,2.266,2.252,2.218,2.255,2.267,2.254,2.221,2.251
MAE,5.653,5.624,5.745,5.632,5.584,5.672,5.741,5.627,5.580,5.654,5.727,5.617,5.575,5.647
PICP$_{0.2}$,78.00,76.00,83.00,76.00,77.00,71.00,80.00,77.00,78.00,75.00,80.00,78.00,78.00,78.00
Kupiec passed$_{0.2}$,23,9,17,12,15,3,22,15,20,5,24,23,23,21
Winkler$_{0.2}$,28.14,28.53,27.92,28.46,28.09,28.58,27.56,28.26,27.61,27.89,27.55,28.21,27.54,27.66
PICP$_{0.4}$,58.00,55.00,64.00,56.00,56.00,51.00,61.00,56.00,56.00,55.00,60.00,58.00,58.00,58.00
Kupiec passed$_{0.4}$,23,10,13,16,16,6,21,19,20,9,24,24,24,24
Winkler$_{0.4}$,20.84,20.93,21.01,20.97,20.59,21.00,20.82,20.86,20.42,20.79,20.83,20.88,20.45,20.71
PICP$_{0.6}$,38.00,35.00,45.00,37.00,36.00,33.00,41.00,37.00,37.00,36.00,40.00,39.00,39.00,38.00
Kupiec passed$_{0.6}$,24,12,14,18,14,8,21,21,19,14,24,24,24,24
Winkler$_{0.6}$,16.73,16.73,16.95,16.73,16.52,16.85,16.84,16.66,16.41,16.74,16.86,16.70,16.45,16.75
PICP$_{0.8}$,19.00,17.00,23.00,18.00,18.00,17.00,20.00,19.00,18.00,19.00,20.00,20.00,20.00,20.00
Kupiec passed$_{0.8}$,23,16,16,21,17,16,23,24,23,24,24,24,24,24
Winkler$_{0.8}$,13.75,13.70,13.96,13.71,13.57,13.81,13.88,13.63,13.51,13.74,13.90,13.67,13.55,13.76
