,CP,QRA,Norm,Jsu,Stu,QR,CQN,CQJ,CQS,CQR,OCQN,OCQJ,OCQS,OCQR
Pinball,2.176,2.170,2.209,2.164,2.178,2.130,2.184,2.138,2.152,2.110,2.185,2.136,2.150,2.109
MAE,5.414,5.407,5.528,5.440,5.447,5.384,5.525,5.426,5.444,5.373,5.511,5.409,5.431,5.368
PICP$_{0.2}$,78.00,79.00,81.00,75.00,74.00,74.00,80.00,76.00,76.00,76.00,79.00,78.00,77.00,78.00
Kupiec passed$_{0.2}$,22,10,11,7,6,5,18,13,12,12,23,20,15,19
Winkler$_{0.2}$,27.48,27.21,27.37,26.62,27.18,26.00,26.86,26.18,26.60,25.45,26.76,26.07,26.45,25.26
PICP$_{0.4}$,57.00,58.00,64.00,56.00,54.00,55.00,60.00,56.00,56.00,57.00,59.00,57.00,58.00,58.00
Kupiec passed$_{0.4}$,21,9,13,8,7,8,19,16,14,18,24,23,23,24
Winkler$_{0.4}$,20.18,20.12,20.45,19.93,20.12,19.60,20.09,19.66,19.79,19.35,20.09,19.60,19.76,19.32
PICP$_{0.6}$,38.00,37.00,44.00,36.00,34.00,36.00,40.00,36.00,35.00,36.00,39.00,38.00,38.00,38.00
Kupiec passed$_{0.6}$,23,11,16,9,8,7,21,15,13,17,24,24,24,24
Winkler$_{0.6}$,16.09,16.07,16.39,16.07,16.13,15.80,16.19,15.85,15.93,15.68,16.24,15.87,15.94,15.69
PICP$_{0.8}$,19.00,18.00,22.00,18.00,17.00,18.00,20.00,18.00,18.00,18.00,21.00,21.00,20.00,20.00
Kupiec passed$_{0.8}$,24,16,17,19,15,18,22,22,22,23,24,24,24,23
Winkler$_{0.8}$,13.17,13.16,13.44,13.22,13.24,13.05,13.33,13.06,13.12,12.98,13.37,13.07,13.14,12.99
