market,model,Pinball,MAE,PICP_alpha_0.2,Kupiec_passed_alpha_0.2,Winkler_alpha_0.2,PICP_alpha_0.4,Kupiec_passed_alpha_0.4,Winkler_alpha_0.4,PICP_alpha_0.6,Kupiec_passed_alpha_0.6,Winkler_alpha_0.6,PICP_alpha_0.8,Kupiec_passed_alpha_0.8,Winkler_alpha_0.8
DE_price,CP,1.549,3.799,79.00,24,20.27,59.00,24,14.43,40.00,24,11.39,20.00,24,9.27
DE_price,QRA,1.557,3.794,78.00,6,20.62,59.00,5,14.57,39.00,9,11.45,20.00,10,9.28
DE_price,Norm,1.489,3.758,78.00,10,18.07,60.00,15,13.68,40.00,18,11.08,20.00,22,9.13
DE_price,Jsu,1.467,3.724,74.00,5,17.52,54.00,5,13.45,35.00,8,10.94,17.00,14,9.04
DE_price,Stu,1.473,3.725,75.00,6,17.77,54.00,6,13.51,35.00,10,10.97,18.00,15,9.05
DE_price,QR,1.474,3.726,75.00,9,17.71,54.00,5,13.52,35.00,8,11.00,18.00,18,9.06
DE_price,CQN,1.483,3.755,79.00,22,17.99,60.00,23,13.62,40.00,22,11.03,20.00,22,9.09
DE_price,CQJ,1.457,3.720,77.00,13,17.30,57.00,19,13.36,38.00,19,10.88,19.00,24,8.97
DE_price,CQS,1.463,3.718,78.00,18,17.53,57.00,17,13.40,38.00,20,10.91,19.00,23,9.00
DE_price,CQR,1.462,3.717,78.00,19,17.50,57.00,19,13.41,38.00,22,10.91,19.00,24,9.00
DE_price,OCQN,1.480,3.745,81.00,24,17.98,61.00,24,13.58,41.00,24,11.02,22.00,23,9.06
DE_price,OCQJ,1.450,3.700,80.00,24,17.18,60.00,24,13.30,40.00,24,10.83,21.00,23,8.92
DE_price,OCQS,1.456,3.704,80.00,24,17.42,61.00,24,13.34,40.00,24,10.86,21.00,20,8.96
DE_price,OCQR,1.459,3.704,80.00,24,17.45,60.00,24,13.40,40.00,24,10.89,21.00,23,8.97
MGP_CNOR,CP,1.963,4.918,79.00,24,24.30,60.00,24,18.13,41.00,24,14.56,20.00,24,11.96
MGP_CNOR,QRA,1.979,4.952,76.00,10,24.64,55.00,9,18.32,35.00,10,14.66,18.00,17,12.03
MGP_CNOR,Norm,2.007,5.047,85.00,9,24.65,67.00,7,18.50,47.00,9,14.90,23.00,16,12.27
MGP_CNOR,Jsu,1.925,4.851,78.00,17,23.60,58.00,17,17.71,38.00,23,14.29,19.00,18,11.78
MGP_CNOR,Stu,1.952,4.908,79.00,18,24.18,58.00,19,17.97,38.00,21,14.46,19.00,21,11.91
MGP_CNOR,QR,1.927,4.830,75.00,9,23.87,55.00,12,17.79,36.00,19,14.29,18.00,20,11.75
MGP_CNOR,CQN,1.989,5.046,82.00,23,24.30,63.00,22,18.25,42.00,21,14.75,21.00,22,12.18
MGP_CNOR,CQJ,1.920,4.848,78.00,19,23.59,58.00,22,17.68,38.00,23,14.23,19.00,24,11.72
MGP_CNOR,CQS,1.943,4.906,79.00,22,23.94,59.00,23,17.88,39.00,24,14.39,19.00,23,11.87
MGP_CNOR,CQR,1.922,4.828,77.00,17,23.70,57.00,20,17.74,38.00,23,14.26,19.00,23,11.72
MGP_CNOR,OCQN,1.981,5.025,81.00,24,24.20,60.00,24,18.22,40.00,24,14.71,21.00,23,12.11
MGP_CNOR,OCQJ,1.913,4.825,79.00,22,23.48,59.00,23,17.62,39.00,24,14.20,20.00,24,11.69
MGP_CNOR,OCQS,1.935,4.886,79.00,22,23.82,59.00,24,17.82,39.00,24,14.34,20.00,24,11.82
MGP_CNOR,OCQR,1.918,4.815,78.00,22,23.57,59.00,24,17.69,39.00,24,14.25,20.00,24,11.70
MGP_CSUD,CP,1.994,4.992,79.00,23,24.88,58.00,23,18.38,39.00,24,14.78,20.00,24,12.14
MGP_CSUD,QRA,1.996,4.982,77.00,10,25.07,55.00,7,18.45,36.00,9,14.77,18.00,14,12.12
MGP_CSUD,Norm,2.050,5.127,83.00,12,25.42,67.00,10,18.96,46.00,11,15.21,24.00,16,12.47
MGP_CSUD,Jsu,1.977,4.949,77.00,11,24.60,58.00,14,18.27,38.00,15,14.64,19.00,20,12.03
